timestamp,stockMarket,pair,side,price,liquidity
2025-05-30T12:27:58.190Z,Bybit,SOL/USDC,buy,162.33,15135.10657
2025-05-30T12:27:59.559Z,Raydium,SOL/USDC,buy,162.9617599516122,13120663.02
2025-05-30T12:28:03.188Z,Bybit,SOL/USDC,buy,162.33,15151.33957
2025-05-30T12:28:04.576Z,Raydium,SOL/USDC,buy,162.9617599516122,13120663.02
2025-05-30T12:28:05.188Z,Bybit,SOL/USDC,buy,162.39,15167.57857
2025-05-30T12:28:09.810Z,Raydium,SOL/USDC,buy,162.9617599516122,13120663.02
2025-05-30T12:28:14.841Z,Raydium,SOL/USDC,buy,162.9617599516122,13120663.02
2025-05-30T12:28:19.861Z,Raydium,SOL/USDC,buy,162.9617599516122,13120663.02
2025-05-30T12:28:22.189Z,Bybit,SOL/USDC,buy,162.39,15167.57857
2025-05-30T12:28:25.340Z,Raydium,SOL/USDC,buy,162.9617599516122,13120663.02
2025-05-30T12:28:27.189Z,Bybit,SOL/USDC,buy,162.41,16109.23175
2025-05-30T12:28:30.354Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:28:35.381Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:28:40.366Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:28:45.586Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:28:48.189Z,Bybit,SOL/USDC,buy,162.37,16125.46875
2025-05-30T12:28:50.741Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:28:55.821Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:29:00.901Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:29:03.187Z,Bybit,SOL/USDC,buy,162.41,16374.93051
2025-05-30T12:29:06.159Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:29:11.192Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
2025-05-30T12:29:16.280Z,Raydium,SOL/USDC,buy,162.2297699144931,13068427.78
